,State,PostalCode,Longitude,Latitude
22005,CA,95817,-121.43,38.55
22006,OH,44718,-81.48,40.86
22009,GA,30223,-84.26,33.25
22011,SC,29582,-78.67,33.83
22012,AK,99504,-149.74,61.23
22013,NY,11763,-72.96,40.81
22014,CO,80909,-104.76,38.84
22020,NY,10994,-73.96,41.1
22023,MN,55113,-93.17,45.01
22024,WA,98337,-122.63,47.56
22025,NV,89705,-119.78,39.11
22027,CA,91010,-117.98,34.14
22030,AZ,85711,-110.87,32.22
22031,IL,60632,-87.74,41.81
22032,OH,43221,-83.05,40.01
22034,AZ,85710,-110.82,32.24
22035,IN,46142,-86.13,39.63
22038,CA,94513,-121.69,37.93
22039,OH,45069,-84.37,39.37
22041,CA,91768,-117.79,34.07
22042,IA,52807,-90.51,41.58
22044,CT,06807,-73.6,41.04
22045,IL,60611,-87.63,41.89
22046,NV,89031,-115.21,36.27
22047,CA,95828,-121.4,38.46
22050,AZ,85721,-110.95,32.23
22054,CA,95678,-121.27,38.77
22057,TN,38018,-89.8,35.14
22059,IL,60610,-87.63,41.9
22060,CA,92651,-117.79,33.54
22062,NY,10010,-73.99,40.74
22065,IN,46142,-86.12,39.63
22067,CA,92262,-116.51,33.82
22070,CA,92868,-117.87,33.78
22071,DE,19967,-75.11,38.55
22075,TX,78550,-97.67,26.17
22076,CA,94062,-122.24,37.49
22078,CA,90012,-118.24,34.06
22081,WA,98366,-122.63,47.52
22082,CA,92780,-117.83,33.72
22083,CA,94010,-122.37,37.59
22090,IL,60103,-88.21,41.95
22091,VA,22911,-78.44,38.13
22096,GA,30519,-83.98,34.07
22098,NY,10710,-73.83,40.98
22099,TX,76053,-97.2,32.83
22100,FL,32904,-80.67,28.08
22103,PA,16501,-80.09,42.13
22104,AL,35244,-86.81,33.38
22108,WA,98134,-122.33,47.57
22110,CO,81401,-107.87,38.46
22112,NY,14304,-78.99,43.09
22113,IL,60031,-87.98,42.39
22117,CA,90250,-118.37,33.9
22118,AR,72223,-92.42,34.8
22119,OR,97236,-122.54,45.5
22120,ME,04102,-70.31,43.65
22121,OH,45459,-84.16,39.61
22122,NY,11211,-73.96,40.72
22123,MO,63122,-90.48,38.57
22124,DC,20006,-77.04,38.9
22131,NC,27616,-78.58,35.87
22134,VA,22102,-77.22,38.92
22138,NC,28806,-82.61,35.53
22141,WA,98664,-122.59,45.62
22142,VA,22033,-77.36,38.87
22145,AZ,85044,-111.98,33.35
22146,TX,75254,-96.77,32.95
22147,MN,56387,-94.22,45.55
22148,FL,33762,-82.67,27.89
22150,CO,80301,-105.26,40.02
22151,CA,92782,-117.79,33.73
22152,VA,23233,-77.63,37.66
22154,WA,98072,-122.08,47.76
22157,LA,70113,-90.08,29.95
22158,MA,02110,-71.06,42.35
22160,CA,90265,-118.84,34.03
22162,CA,93003,-119.21,34.26
22165,CA,95207,-121.32,38.02
22170,NM,87112,-106.53,35.11
22171,TN,38018,-89.79,35.15
22174,FL,33172,-80.37,25.79
22176,CA,94925,-122.52,37.93
22180,IL,60666,-87.9,41.97
22183,CA,91701,-117.56,34.14
22184,CA,92602,-117.79,33.73
22185,CO,80013,-104.79,39.67
22187,PA,19530,-75.78,40.51
22189,OH,44114,-81.69,41.5
22191,TX,77079,-95.61,29.77
22193,CA,93277,-119.32,36.31
22196,TN,37067,-86.8,35.96
22201,AK,99645,-149.12,61.6
22203,NY,10018,-73.99,40.76
22206,CA,91752,-117.56,33.98
22207,CA,95350,-120.99,37.67
22212,MI,48917,-84.65,42.74
22216,TX,77092,-95.48,29.83
22219,CA,92637,-117.71,33.61
22221,CA,92101,-117.16,32.71
22222,KY,40504,-84.55,38.05
22223,IN,46142,-86.16,39.61
22233,CA,95678,-121.26,38.77
22234,UT,84009,-112.02,40.54
22235,TN,38138,-89.81,35.1
22237,OK,73132,-97.64,35.56
22238,FL,33647,-82.37,28.13
22239,FL,34109,-81.77,26.21
22240,HI,96814,-157.84,21.29
22246,MI,48108,-83.77,42.24
22248,GA,30097,-84.09,34.0
22249,IA,51360,-95.11,43.42
22250,CA,95758,-121.45,38.42
22251,VA,22556,-77.41,38.47
22256,CA,94611,-122.25,37.83
22257,CA,92399,-117.06,34.03
22258,GA,30319,-84.34,33.86
22259,CA,90292,-118.47,33.98
22260,WV,25389,-81.64,38.35
22261,LA,71209,-92.07,32.53
22262,CA,93955,-121.84,36.62
22263,HI,96825,-157.71,21.28
22264,CA,94560,-122.0,37.53
22269,CA,95066,-122.03,37.05
22272,TX,78250,-98.66,29.55
22273,CA,91606,-118.41,34.19
22276,FL,33607,-82.54,27.97
22277,OR,97031,-121.53,45.71
22278,CA,92025,-117.07,33.07
22279,MA,02210,-71.04,42.35
22280,VA,22030,-77.32,38.85
22281,NY,14225,-78.76,42.92
22282,CA,96150,-119.97,38.95
22283,WA,99202,-117.36,47.65
22284,KS,67037,-97.24,37.57
22285,OR,97204,-122.68,45.52
22286,IN,46375,-87.47,41.52
22287,ID,83854,-116.9,47.71
22288,GA,30602,-83.38,33.95
22291,MT,59901,-114.33,48.24
22292,TX,77002,-95.36,29.77
22293,VA,23322,-76.28,36.71
22297,CA,91364,-118.63,34.16
22300,WA,98134,-122.34,47.58
22301,CA,90603,-117.99,33.94
22302,AZ,85258,-111.91,33.54
22303,WY,82001,-104.82,41.14
22304,NV,89595,-119.78,39.52
22305,IN,46582,-85.82,41.25
22306,UT,84084,-112.03,40.61
22307,WA,98030,-122.2,47.37
22308,CO,80108,-104.88,39.47
22311,TX,78717,-97.8,30.48
22312,GA,30342,-84.38,33.91
22313,CA,95008,-121.98,37.29
22314,VA,23230,-77.5,37.58
22317,AL,36203,-85.83,33.61
22321,CA,93246,-119.78,36.3
22323,CA,90605,-118.03,33.96
22328,WA,98408,-122.44,47.19
22329,KS,66111,-94.83,39.13
22330,GA,30066,-84.46,34.04
22334,CA,96007,-122.29,40.43
22336,CA,90067,-118.42,34.06
22338,VA,23233,-77.62,37.65
22346,CT,06082,-72.58,42.0
22347,MD,20852,-77.11,39.05
22348,CA,93003,-119.23,34.26
