City,Latitude,Longitude,Name,PostalCode,State
Fort Worth,32.76367,-97.30904,Martin House Brewery,76102,TX
Wells,43.32601,-70.57801,Boon Island Alehouse,4090,ME
Pharr,26.07421069,-98.3195353,Sierra Madre Brewing Co.,78577,TX
Oreland,40.11953,-75.1876,Oreland Inn,19075,PA
Phoenix,33.843193,-112.134869,Fry's Food and Drug,85086,AZ
Camp Hill,40.23860769,-76.9460851,Appalachian Brewing Company,17011,PA
Waconia,44.85046,-93.790146,Waconia Brewing Company,55387,MN
Richmond,29.595352,-95.739223,All About Brew,77406,TX
Chino Valley,34.798581,-112.453011,Insurgent Brewing Co,86323,AZ
Akron,41.062991,-81.472624,Uncle Ricky's,44305,OH
Cheyenne,41.132041,-104.81374,Cheyenne Brewing Co,82001,WY
Owings,38.682992,-76.618495,Scorpion Brewing Llc,20736,MD
Jefferson City,38.551592,-92.119762,7 Up Rc Bottling Co,65101,Honey Creek
Dubuque,42.499393,-90.65441,Stone Cliff Winery,52001,Eagle Point
Boulder,40.026305,-105.241665,"Clear Choice Window Tinting, Clearbras, & Automotive Detailing",80301,CO
Long Beach,33.770814,-118.15442,Redmoon Concepts,90814,CA
Apex,35.71213694,-78.85197477,Br��eprint Brewing Co.,27502,NC
Evanston,41.26806737,-110.9661499,Suds Bro Brewery,82930,WY
Raleigh,35.792947,-78.686847,Raleigh Brewing Co,27607,Ncsu Student Housing
Greensboro,36.040272,-79.847382,Total Wine & More,27407,Hilltop
Granbury,32.41783259,-97.67032844,Revolver Brewing,76049,TX
Le Claire,41.59992,-90.34336,Green Tree Brewery,52753,IA
Houston,29.742489,-95.380585,Brews Crews Tours,77006,TX
Paso Robles,35.716493,-120.682525,R N Estate Vineyard & Winery,93446,Heritage Rnch
Visalia,36.329901,-119.289512,Swaggers Brewery Llc,93291,CA
Danville,40.962837,-76.616958,Old Forge Brewing Co,17821,Deiblers
Arlington,38.879017,-77.110762,Rock Bottom Restaurant & Brewery,22203,VA
Sioux Falls,43.524387,-96.77763,Hydra Beer Company,57106,SD
Federal Way,47.31611,-122.30032,RAM Restaurant & Brewery,98003,WA
Orlando,28.59705474,-81.21458236,Wawa,32817,FL
South Burlington,44.484324,-73.161211,Halyard Brewing Co Llc,5403,Queen City
Stevens Point,44.511001,-89.532,Point Brewery,54481,Dewey
Watsonville,36.898548,-121.640155,River Run Vintners,95076,La Selva Beach
Waynesville,35.49047907,-82.98753728,Boojum Brewery Taproom,28786,NC
Carteret,40.606665,-74.269621,Berje Inc,7008,NJ
Carmel Valley,36.482631,-121.723289,Joyce Vineyards,93924,Robles Del Rio
Cold Spring,45.45557809,-94.42891453,Third Street Brewhouse,56320,MN
Tempe,33.429446,-111.904625,Total Wine & More,85281,AZ
Stewartville,43.85067,-92.481398,Steel N' Wood Brew Llc,55976,Pleasant Grove
Grand Rapids,42.97127413,-85.63052164,Vandermill Cider,49525,MI
Cleveland,41.470343,-81.759154,Sawchyn's Cafe,44111,OH
Hyattsville,38.95263423,-76.94056034,"Franklin's Restaurant, Brewery, and General Store",20781,Cheverly
Sackets Harbor,43.94793948,-76.12068419,Sackets Harbor Brewing Company,13685,Hounsfield
Pottstown,40.264929,-75.628527,Weak Knee Home Brewing Supplys,19464,PA
Ventura,34.265516,-119.26673,Ventura Coastal Corp,93001,La Conchita
Great Barrington,42.819042,-2.807789,Byra Cerveza Artesana S.L,1230,MA
Modesto,37.688201,-120.992873,Hut,95350,CA
Chicago,41.86268,-87.624227,Vice District Tap Room,60605,IL
Bolinas,37.937733,-122.704234,Thackrey & Co,94924,CA
Healdsburg,38.581152,-122.845007,Acorn Winery,95448,CA
Santa Maria,34.91353,-120.46406,Santa Maria Brewing Co Inc,93455,CA
Cincinnati,39.155593,-84.431652,Dillinger's Tavern,45209,OH
Ashburn,39.017455,-77.477092,Lost Rhino Brewing Co,20147,VA
Paso Robles,35.60478,-120.715835,Terry Hoage Vineyards,93446,Heritage Rnch
Albany,31.580766,-84.08686,Miller Brewing Co,31705,GA
Carlsbad,33.13867788,-117.2735811,On The Tracks Brewery,92008,CA
Zillah,46.44743,-120.28262,Hyatt Vineyards,98953,WA
Seattle,47.637878,-122.377185,Total Wine & More,98119,WA
Hillsboro,45.53261,-122.95697,Ambacht Brewing,97124,Orenco
Great Barrington,42.2133365,-73.34377538,Barrington Brewery & Restaurant,1230,N Egremont
Cary,42.2090044,-88.24311634,Cary Ale House & Brewing Company,60013,IL
Minneapolis,45.04261,-93.32412,Surly Brewing Co,55429,Brooklyn Park
Brookfield,43.036555,-88.128037,Total Wine & More,53045,WI
Nashville,36.151863,-86.79906,Blackstone Brewpub Brewery,37203,TN
Littleton,39.61196608,-105.0198112,Old Mill Brewery,80120,CO
Vernal,40.45510188,-109.5183607,Vernal Brewing Company,84078,Maeser
Denver,39.747169,-104.993057,D'vine Wine Denver,80202,CO
Gillette,44.29219,-105.50394,Gillette Brewing Company,82716,WY
Hot Springs National Park,34.490168,-93.086893,Kroger,71913,Hot Springs National
Farmingdale,40.757098,-73.40406,Brews Brothers At Kedco,11735,E Farmingdale
Edmonds,47.80878,-122.38685,Gallaghers' Where-u-brew,98020,WA
Universal City,34.136247,-118.351366,Karl Strauss Brewing Company,91608,Universal Cty
Oceanside,40.630546,-73.640866,Chic Lounge,11572,NY
Cedar Falls,42.53548511,-92.44561804,The Pump Haus Pub & Grill,50613,Brookside
Eagle,39.65533268,-106.8287319,Bonfire Brewing,81631,CO
Cottonwood,46.04963,-116.34983,Wolftrack Brewing and Tasting Den,83522,ID
Starkville,33.482284,-88.795281,Strange Brew Coffee House,39759,Bells School
Pullman,46.72885992,-117.1801911,Paradise Creek Brewery,99163,WA
Monterey,36.600103,-121.894755,Crown & Anchor,93940,Presidio Of Monterey
Mason City,43.151814,-93.200096,Mason City Brewing,50401,Emery
New Albany,38.327027,-85.817082,Nabc's Public House & Pizzeria,47150,IN
Elizabethtown,40.147285,-76.61164,Moo-duck Brewery,17022,Bellaire
Oakland,45.95128,11.107828,Plotegher Beer,38060,TN
Hollywood,-33.46728,-70.70243,Vina La Montana,33019,FL
Lake Ann,44.724277,-85.84293,Lake Ann Brewing Company,49650,MI
Lititz,40.15704887,-76.30558491,The Sturgis Haus Brewpub,17543,Fairland
Traverse City,44.76419,-85.621226,Mackinaw Brewing Co,49684,MI
Saint Paul,44.92224,-93.13434,Vine Park Brewing Company,55102,MN
Charlotte,35.24526309,-80.80944312,Heist Brewery,28205,NC
Marco Island,25.95311795,-81.7232417,Marco Island Brewery,34145,FL
Fiskdale,42.140126,-72.11011508,Hyland Orchard Brewing,1518,MA
Wausau,44.985707,-89.655113,Kruse-in Bar,54401,WI
Herndon,38.95637,-77.37498,Aslin Brewery,20170,VA
Andover,42.664255,-71.145475,Andover Classic Wines Llc - Andover Liquors,1810,MA
Marquette,46.54257259,-87.39276409,The Vierling Restaurant & Marquette Harbor Brewery,49855,MI
Louisville,38.246904,-85.758199,Blue Grass Brewing Co,40202,KY
West Palm Beach,26.71333,-80.05209,Cycle Party,33401,FL
Charlotte,35.220505,-80.85754,The Unknown Brewery,28203,NC
Seattle,47.732705,-122.355366,The Cellar Homebrew,98133,Richmond Highlands
Durham,35.99034,-78.89252,Jc's Kitchen,27701,NC
Duluth,46.78997367,-92.09406017,Carmody Irish Pub and Brewing,55802,MN
Bristow,45.44625,9.179226,La Belle Alliance,20136,VA
Cedar Brook,41.39903,2.18904,La Cervesera del Poblenou,8018,NJ
Oak Bluffs,41.45613,-70.55736,Offshore Ale Company,2557,MA
Rossford,41.2667,1.16667,Cerveceria Rosita,43460,OH
Felda,43.30754,-5.69025,Brew Pub Espumeru,33930,FL
Ironton,40.000008,-4.821895,Cerveza Ebora,45638,OH
Somerville,42.39387423,-71.08039825,American Fresh Brewhouse Beer Garden,2145,MA
Long Key,43.36537,-5.84634,Vivalabirra,33001,FL
Columbus,39.99793381,-82.88382053,Columbus Brewing Company,43219,OH
San Diego,32.754603,-117.130007,Belching Beaver North Park,92104,CA
