,PostalCode,Population,Median_Income,PerUnder60
14797,89027,16360,472344,0.78
14798,89029,7510,218815,0.75
14799,89030,67780,598101,0.97
14800,89031,90530,1666726,0.94
14801,89032,58800,897379,0.94
14802,89040,3560,74007,0.88
14803,89043,1010,23592,0.82
14804,89044,30010,1338669,0.83
14805,89045,1820,57700,0.93
14806,89046,470,10453,0.81
14807,89048,20140,433108,0.83
14808,89049,2770,64897,0.9
14809,89052,67140,3790338,0.86
14810,89060,9460,204486,0.81
14811,89061,6620,182957,0.8
14812,89074,60270,2081111,0.89
14813,89081,50180,867120,0.95
14814,89084,35920,903692,0.9
14815,89085,5370,131572,0.94
14816,89086,7150,116810,0.96
14817,89101,45180,574227,0.96
14818,89102,41800,755190,0.93
14819,89103,55200,1137386,0.92
14820,89104,50040,650391,0.94
14821,89106,32290,363616,0.95
14822,89107,48570,939562,0.93
14823,89108,87400,1279189,0.94
14824,89109,6620,901859,0.85
14825,89110,97850,1236757,0.95
14826,89113,38720,1561436,0.92
14827,89115,81420,794031,0.97
14828,89117,61470,2744610,0.88
14829,89118,24200,682718,0.92
14830,89119,50350,894453,0.93
14831,89120,28160,779338,0.9
14832,89121,77660,1213346,0.92
14833,89122,62920,976605,0.92
14834,89123,62650,1902080,0.89
14835,89124,740,27782,0.85
14836,89128,41950,1073231,0.89
14837,89129,62810,1829436,0.91
14838,89130,40070,1021393,0.89
14839,89131,61240,1954106,0.91
14840,89134,25520,1841946,0.69
14841,89135,34890,3765481,0.85
14842,89138,24660,1475161,0.94
14843,89139,54920,1342039,0.95
14844,89141,42900,1857539,0.93
14845,89142,47200,646050,0.95
14846,89143,16420,399280,0.94
14847,89144,22880,1369841,0.9
14848,89145,28450,1515467,0.88
14849,89146,21660,511957,0.91
14850,89147,62210,1483729,0.9
14851,89148,68890,2113917,0.94
14852,89149,48450,1695792,0.91
14853,89156,36550,484847,0.95
14854,89161,320,23080,0.75
14855,89166,31210,831837,0.96
14856,89169,25960,797573,0.95
14857,89178,49250,1322304,0.95
14858,89179,14100,382505,0.95
14859,89183,45910,1095772,0.94
14860,89301,5950,139208,0.9
14861,89310,460,11835,0.83
14862,89311,230,5567,0.83
14863,89316,1620,40107,0.92
14864,89403,19500,481734,0.86
14865,89406,27460,610808,0.89
14866,89408,26740,566822,0.91
14867,89410,12730,471407,0.81
14868,89413,350,128076,0.63
14869,89414,300,6982,0.9
14870,89415,3460,76406,0.85
14871,89418,330,6061,0.88
14872,89419,3970,80272,0.89
14873,89423,13670,554487,0.78
14874,89425,520,13278,0.87
14875,89429,7800,144194,0.86
14876,89430,660,18775,0.8
14877,89431,46530,807715,0.93
14878,89433,26940,373369,0.94
14879,89434,31250,921585,0.89
14880,89436,55390,1773416,0.89
14881,89439,2040,162367,0.8
14882,89441,16840,597075,0.88
14883,89444,2880,83575,0.77
14884,89445,18520,430057,0.93
14885,89447,12820,211921,0.91
14886,89451,5570,1506714,0.8
14887,89460,14560,540146,0.83
14888,89501,3410,210150,0.82
14889,89502,52070,1033599,0.92
14890,89503,25000,739987,0.89
14891,89506,51220,1035397,0.92
14892,89508,15360,388916,0.9
14893,89509,36830,1904770,0.84
