ZIPCODE,POPULATION,MEDIAN_INCOME,PER_UNDER_60
61816,530,13147,0.849056604
61817,3030,71127,0.874587459
61818,1930,44210,0.880829016
61820,17980,464838,0.921579533
61821,33470,956534,0.890349567
61822,29830,1201299,0.891049279
61830,590,13520,0.86440678
61832,35370,619979,0.894826124
61833,1960,34613,0.857142857
61834,7520,202907,0.85106383
61839,690,15754,0.884057971
61840,1050,34464,0.885714286
61841,1610,36791,0.875776398
61842,3230,80230,0.86377709
61843,3090,75334,0.896440129
61844,1120,31627,0.857142857
61845,470,11657,0.85106383
61846,5220,93887,0.883141762
61847,1370,37124,0.854014599
61849,2040,58439,0.867647059
61850,570,10755,0.842105263
61851,470,11283,0.872340426
61852,270,6137,0.851851852
61853,18670,602369,0.91322978
61854,1700,51133,0.870588235
61856,9830,317393,0.86775178
61858,3550,84336,0.864788732
61859,1480,40169,0.891891892
61862,580,14863,0.862068966
61863,1090,29743,0.880733945
61864,2120,62860,0.882075472
61865,1510,33218,0.887417219
61866,16120,250522,0.907568238
61870,1340,25698,0.873134328
61872,870,24194,0.862068966
61873,7750,217302,0.898064516
61874,9420,326350,0.880042463
61875,920,28544,0.869565217
61876,910,19032,0.879120879
61877,1980,51535,0.888888889
61878,1510,36411,0.847682119
61880,5360,134511,0.904850746
61882,790,18875,0.911392405
61883,5160,99241,0.877906977
61884,1440,56440,0.847222222
61910,5960,116115,0.91442953
61911,6130,122686,0.911908646
61912,1250,34322,0.864
61913,1920,41140,0.869791667
61914,2220,47572,0.864864865
61917,630,14785,0.873015873
61919,910,25505,0.846153846
61920,19240,478126,0.882016632
61924,2310,56222,0.857142857
61925,1220,35611,0.901639344
61928,750,17635,0.853333333
61929,910,17426,0.89010989
61930,560,12456,0.875
61931,1440,30819,0.888888889
61932,440,11677,0.840909091
61933,1200,23186,0.866666667
61937,2390,49513,0.887029289
61938,22790,515014,0.876700307
61942,1250,30608,0.856
61943,1630,39060,0.846625767
61944,13220,296393,0.872919818
61951,9290,238235,0.880516685
61953,7470,186927,0.879518072
61956,3310,68095,0.879154079
61957,2070,43108,0.874396135
62001,2030,63849,0.871921182
62002,32970,757871,0.884743706
62006,730,16471,0.876712329
62009,1830,34942,0.885245902
62010,12620,336899,0.872424723
62011,280,5304,0.892857143
62012,7720,204413,0.878238342
62013,500,13489,0.8
62014,4270,98725,0.878220141
62015,560,14094,0.839285714
62016,4350,97816,0.873563218
62017,1190,25361,0.865546218
62018,3710,50994,0.916442049
62019,440,10562,0.840909091
62021,1110,35631,0.837837838
62022,1380,34237,0.847826087
62024,10200,211232,0.881372549
62025,37680,1456952,0.887738854
62027,520,10724,0.865384615
62028,960,22562,0.864583333
62031,950,20892,0.873684211
62032,880,18532,0.897727273
62033,5140,110413,0.871595331
62034,17500,620803,0.884571429
62035,18410,553544,0.847365562
62036,780,19954,0.833333333
62037,2010,60700,0.845771144
62040,45690,886863,0.892317794
62044,2200,45982,0.868181818
62045,520,11020,0.865384615
62047,1780,39497,0.887640449
62048,1310,24819,0.870229008
62049,6810,166622,0.860499266
62050,390,6391,0.871794872
62051,990,21512,0.858585859
62052,13950,325626,0.888172043
62053,680,14410,0.852941176
62054,850,15606,0.905882353
62056,9680,216892,0.878099174
62060,4160,49265,0.920673077
62061,2140,63065,0.878504673
62062,9340,354591,0.857601713
62063,1290,29468,0.860465116
62067,2910,90326,0.872852234
62069,3410,79432,0.870967742
62074,1240,30722,0.879032258
62075,3730,79626,0.873994638
62079,380,8504,0.894736842
62080,2750,50791,0.88
62081,350,7129,0.885714286
